,MODELYEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,City_FC,HWY_FC,COMB_FC,COMB_MPG_FC,CO2EMISSIONS,Diesel,Ethanol,Gasoline,Prem_Gasoline
0,2014,ACURA,ILX,COMPACT,2.0,4,AS5,9.9,6.7,8.5,33,196,0,0,0,1
1,2014,ACURA,ILX,COMPACT,2.4,4,M6,11.2,7.7,9.6,29,221,0,0,0,1
2,2014,ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,6.0,5.8,5.9,48,136,0,0,0,1
3,2014,ACURA,MDX 4WD,SUV - SMALL,3.5,6,AS6,12.7,9.1,11.1,25,255,0,0,0,1
4,2014,ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,12.1,8.7,10.6,27,244,0,0,0,1
5,2014,ACURA,RLX,MID-SIZE,3.5,6,AS6,11.9,7.7,10.0,28,230,0,0,0,1
6,2014,ACURA,TL,MID-SIZE,3.5,6,AS6,11.8,8.1,10.1,28,232,0,0,0,1
7,2014,ACURA,TL AWD,MID-SIZE,3.7,6,AS6,12.8,9.0,11.1,25,255,0,0,0,1
8,2014,ACURA,TL AWD,MID-SIZE,3.7,6,M6,13.4,9.5,11.6,24,267,0,0,0,1
9,2014,ACURA,TSX,COMPACT,2.4,4,AS5,10.6,7.5,9.2,31,212,0,0,0,1
10,2014,ACURA,TSX,COMPACT,2.4,4,M6,11.2,8.1,9.8,29,225,0,0,0,1
11,2014,ACURA,TSX,COMPACT,3.5,6,AS5,12.1,8.3,10.4,27,239,0,0,0,1
12,2014,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,18.0,12.6,15.6,18,359,0,0,0,1
13,2014,ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,A6,18.0,12.6,15.6,18,359,0,0,0,1
14,2014,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,17.4,11.3,14.7,19,338,0,0,0,1
15,2014,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,18.1,12.2,15.4,18,354,0,0,0,1
16,2014,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,17.4,11.3,14.7,19,338,0,0,0,1
17,2014,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,18.1,12.2,15.4,18,354,0,0,0,1
18,2014,ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A6,18.0,12.6,15.6,18,359,0,0,0,1
19,2014,AUDI,A4,COMPACT,2.0,4,AV8,9.9,7.4,8.8,32,202,0,0,0,1
20,2014,AUDI,A4 QUATTRO,COMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,0,0,0,1
21,2014,AUDI,A4 QUATTRO,COMPACT,2.0,4,M6,10.8,7.5,9.3,30,214,0,0,0,1
22,2014,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,0,0,0,1
23,2014,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,0,0,0,1
24,2014,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,M6,10.8,7.5,9.3,30,214,0,0,0,1
25,2014,AUDI,A6 QUATTRO,MID-SIZE,2.0,4,AS8,12.0,8.1,10.2,28,235,0,0,0,1
26,2014,AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS8,12.8,8.6,10.9,26,251,0,0,0,1
27,2014,AUDI,A6 QUATTRO TDI CLEAN DIESEL,MID-SIZE,3.0,6,AS8,9.8,6.4,8.3,34,224,1,0,0,0
28,2014,AUDI,A7 QUATTRO,MID-SIZE,3.0,6,AS8,13.1,8.8,11.2,25,258,0,0,0,1
29,2014,AUDI,A7 QUATTRO TDI CLEAN DIESEL,MID-SIZE,3.0,6,AS8,9.8,6.4,8.3,34,224,1,0,0,0
30,2014,AUDI,A8,MID-SIZE,3.0,6,AS8,13.1,8.8,11.2,25,258,0,0,0,1
31,2014,AUDI,A8,MID-SIZE,4.0,8,AS8,13.5,8.6,11.3,25,260,0,0,0,1
32,2014,AUDI,A8 TDI CLEAN DIESEL,MID-SIZE,3.0,6,AS8,10.0,6.4,8.4,34,227,1,0,0,0
33,2014,AUDI,A8L,FULL-SIZE,3.0,6,AS8,13.1,8.8,11.2,25,258,0,0,0,1
34,2014,AUDI,A8L,FULL-SIZE,4.0,8,AS8,14.7,9.7,12.5,23,288,0,0,0,1
35,2014,AUDI,A8L,FULL-SIZE,6.3,12,AS8,18.2,12.6,15.7,18,361,0,0,0,1
36,2014,AUDI,A8L TDI CLEAN DIESEL,FULL-SIZE,3.0,6,AS8,10.1,6.5,8.5,33,230,1,0,0,0
37,2014,AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4,AS8,11.8,8.8,10.5,27,242,0,0,0,1
38,2014,AUDI,Q5,SUV - SMALL,2.0,4,AS8,12.0,8.5,10.4,27,239,0,0,0,1
39,2014,AUDI,Q5,SUV - SMALL,3.0,6,AS8,12.9,9.2,11.2,25,258,0,0,0,1
40,2014,AUDI,Q5 HYBRID,SUV - SMALL,2.0,4,AS8,9.9,8.3,9.2,31,212,0,0,0,1
41,2014,AUDI,Q5 TDI CLEAN DIESEL,SUV - SMALL,3.0,6,AS8,10.3,7.6,9.1,31,246,1,0,0,0
42,2014,AUDI,Q7,SUV - STANDARD,3.0,6,AS8,15.1,10.9,13.2,21,304,0,0,0,1
43,2014,AUDI,Q7 TDI CLEAN DIESEL,SUV - STANDARD,3.0,6,AS8,12.9,8.4,10.9,26,294,1,0,0,0
44,2014,AUDI,R8,TWO-SEATER,4.2,8,A7,17.6,11.0,14.6,19,336,0,0,0,1
45,2014,AUDI,R8,TWO-SEATER,4.2,8,M6,21.2,13.4,17.7,16,407,0,0,0,1
46,2014,AUDI,R8,TWO-SEATER,5.2,10,A7,18.8,11.3,15.4,18,354,0,0,0,1
47,2014,AUDI,R8,TWO-SEATER,5.2,10,M6,21.1,13.8,17.8,16,409,0,0,0,1
48,2014,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,A7,17.6,11.0,14.6,19,336,0,0,0,1
49,2014,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M6,21.2,13.4,17.7,16,407,0,0,0,1
50,2014,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,A7,18.8,11.3,15.4,18,354,0,0,0,1
51,2014,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M6,21.1,13.8,17.8,16,409,0,0,0,1
52,2014,AUDI,RS5,SUBCOMPACT,4.2,8,A7,15.3,10.9,13.3,21,306,0,0,0,1
53,2014,AUDI,RS5 CABRIOLET,SUBCOMPACT,4.2,8,A7,15.2,11.3,13.4,21,308,0,0,0,1
54,2014,AUDI,RS7,MID-SIZE,4.0,8,AS8,15.3,9.3,12.6,22,290,0,0,0,1
55,2014,AUDI,S4,COMPACT,3.0,6,A7,13.2,9.2,11.4,25,262,0,0,0,1
56,2014,AUDI,S4,COMPACT,3.0,6,M6,14.6,9.8,12.4,23,285,0,0,0,1
57,2014,AUDI,S5,SUBCOMPACT,3.0,6,A7,13.2,9.2,11.4,25,262,0,0,0,1
58,2014,AUDI,S5,SUBCOMPACT,3.0,6,M6,14.6,9.8,12.4,23,285,0,0,0,1
59,2014,AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6,A7,13.3,9.5,11.6,24,267,0,0,0,1
60,2014,AUDI,S6,MID-SIZE,4.0,8,A7,14.2,9.7,12.2,23,281,0,0,0,1
61,2014,AUDI,S7,MID-SIZE,4.0,8,A7,14.2,9.7,12.2,23,281,0,0,0,1
62,2014,AUDI,S8,MID-SIZE,4.0,8,AS8,15.4,9.8,12.9,22,297,0,0,0,1
63,2014,AUDI,SQ5,SUV - SMALL,3.0,6,AS8,14.9,10.1,12.7,22,292,0,0,0,1
64,2014,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4,A6,10.4,7.6,9.1,31,209,0,0,0,1
65,2014,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,10.4,7.6,9.1,31,209,0,0,0,1
66,2014,AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4,A6,11.5,8.8,10.3,27,237,0,0,0,1
67,2014,AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,11.5,8.8,10.3,27,237,0,0,0,1
68,2014,BENTLEY,CONTINENTAL GT,SUBCOMPACT,4.0,8,AS8,15.4,9.8,12.9,22,297,0,0,0,1
69,2014,BENTLEY,CONTINENTAL GT,SUBCOMPACT,6.0,12,AS8,18.8,11.5,15.5,18,356,0,0,0,1
70,2014,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,4.0,8,AS8,16.8,10.3,13.9,20,320,0,0,0,1
71,2014,BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6.0,12,AS8,20.0,12.2,16.5,17,380,0,0,0,1
72,2014,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4.0,8,AS8,16.7,10.6,14.0,20,322,0,0,0,1
73,2014,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6.0,12,AS8,20.0,12.2,16.5,17,380,0,0,0,1
74,2014,BENTLEY,FLYING SPUR,MID-SIZE,6.0,12,AS8,20.0,12.2,16.5,17,380,0,0,0,1
75,2014,BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,22.3,14.9,19.0,15,437,0,0,0,1
76,2014,BMW,320i,COMPACT,2.0,4,A8,10.0,6.5,8.4,34,193,0,0,0,1
77,2014,BMW,320i,COMPACT,2.0,4,M6,10.4,6.7,8.7,32,200,0,0,0,1
78,2014,BMW,320i xDRIVE,COMPACT,2.0,4,A8,10.2,7.0,8.8,32,202,0,0,0,1
79,2014,BMW,328d xDRIVE,COMPACT,2.0,4,A8,7.6,5.5,6.7,42,181,1,0,0,0
80,2014,BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A8,7.6,5.5,6.7,42,181,1,0,0,0
81,2014,BMW,328i,COMPACT,2.0,4,A8,10.0,6.5,8.4,34,193,0,0,0,1
82,2014,BMW,328i,COMPACT,2.0,4,M6,10.4,6.7,8.7,32,200,0,0,0,1
83,2014,BMW,328i xDRIVE,COMPACT,2.0,4,A8,10.6,7.2,9.1,31,209,0,0,0,1
84,2014,BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2.0,4,A8,10.6,7.2,9.1,31,209,0,0,0,1
85,2014,BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A8,10.6,7.2,9.1,31,209,0,0,0,1
86,2014,BMW,335i,COMPACT,3.0,6,A8,11.4,7.3,9.6,29,221,0,0,0,1
